Fid  | Fname                                    | Fgroup           | Fcalorie  | Fcarb    | Fprotein | Ffat     | Fsodium   | Ffiber  | 1 | Fserving   | 10
1216 | Iced Tea / Lemonade Juice Drink Light    | Beverages        |       6.3 |     1.84 |     0.07 |     0.01 |       3.9 |    0.09 | 1 | 1 fl oz (n | 10
1220 | Kamikaze                                 | Beverages        |       201 |     8.27 |     0.06 |      0.1 |         5 |     0.1 | 1 | 100 g      | 10
1222 | Kraft Coffee Instant French Vanilla Cafe | Beverages        |     67.34 |    10.44 |     0.35 |     2.69 |     55.86 |     0.2 | 1 | 1 nlea ser | 10
1225 | Lemonade Frozen Concentrate Pink         | Beverages        |     69.89 |    17.79 |     0.08 |     0.25 |      1.46 |    0.11 | 1 | 1 fl oz    | 10
1226 | Lemonade Frozen Concentrate White        | Beverages        |     71.54 |    18.21 |     0.08 |     0.26 |      2.56 |    0.11 | 1 | 1 fl oz    | 10
1231 | Licuado Or Batido                        | Beverages        |     19.17 |     3.54 |     0.63 |     0.38 |      7.83 |    0.19 | 1 | 1 fl oz    | 10
1236 | Mai Tai                                  | Beverages        |       156 |    17.17 |     0.18 |     0.08 |         5 |     0.1 | 1 | 100 g      | 10
1238 | Malted Drink Mix Chocolate Powder        | Beverages        |     86.31 |    18.26 |     1.07 |        1 |      39.9 |    1.01 | 1 | 1 serving  | 10
1242 | Martini Flavored                         | Beverages        |      56.7 |        2 |     0.03 |     0.01 |       0.3 |    0.03 | 1 | 1 fl oz    | 10
1244 | Milk And Soy Chocolate Drink             | Beverages        |    239.37 |       41 |       10 |     4.01 |    149.31 |    3.08 | 1 | 8 fl oz    | 10
1245 | Mimosa                                   | Beverages        |        65 |     7.14 |     0.38 |     0.06 |         3 |     0.2 | 1 | 100 g      | 10
1250 | Mojito                                   | Beverages        |        61 |     2.46 |     0.09 |     0.02 |        15 |     0.2 | 1 | 100 g      | 10
1255 | Oatmeal Beverage With Milk               | Beverages        |    203.36 |    38.66 |     4.19 |     3.89 |     52.08 |     0.5 | 1 | 1 cup      | 10
1256 | Oatmeal Beverage With Water              | Beverages        |     13.33 |      3.3 |     0.08 |     0.04 |      1.24 |    0.06 | 1 | 1 fl oz    | 10
1257 | Ocean Spray Cran Cherry                  | Beverages        |    114.08 |    31.64 |     0.47 |        0 |     17.36 |    1.49 | 1 | 8 fl oz    | 10
1258 | Ocean Spray Cran Grape                   | Beverages        |     129.6 |    31.58 |      0.5 |        0 |      45.6 |    1.44 | 1 | 8 fl oz    | 10
1259 | Ocean Spray Cran Lemonade                | Beverages        |    111.15 |    27.47 |     0.17 |        0 |    128.44 |    1.48 | 1 | 8 fl oz    | 10
1260 | Ocean Spray Cran Pomegranate             | Beverages        |    116.56 |    31.15 |     0.17 |     0.02 |     29.76 |    1.49 | 1 | 8 fl oz    | 10
1261 | Ocean Spray Cran Raspberry Juice Drink   | Beverages        |    121.52 |    29.66 |     0.69 |        0 |     34.72 |    1.49 | 1 | 8 fl oz    | 10
1262 | Ocean Spray Diet Cran Cherry             | Beverages        |      9.48 |     1.66 |      0.5 |        0 |     18.96 |    1.42 | 1 | 8 fl oz    | 10
1263 | Ocean Spray Diet Cranberry Juice         | Beverages        |      9.48 |      1.9 |     0.17 |        0 |     16.59 |    1.42 | 1 | 8 fl oz    | 10
1264 | Ocean Spray Light Cranberry              | Beverages        |     47.12 |    11.71 |     0.55 |     0.02 |      37.2 |    1.74 | 1 | 8 fl oz    | 10
1265 | Ocean Spray Ruby Red Cranberry           | Beverages        |    102.15 |    26.29 |     0.16 |     0.02 |     24.97 |    1.36 | 1 | 8 fl oz    | 10
1266 | Ocean Spray White Cranberry Peach        | Beverages        |    111.15 |    29.34 |     0.32 |     0.02 |     27.17 |    1.48 | 1 | 8 fl oz    | 10
1267 | Old Fashioned                            | Beverages        |       162 |     6.24 |     0.18 |     0.03 |         4 |     0.6 | 1 | 100 g      | 10
1268 | Orange And Apricot Juice Drink Canned    | Beverages        |     15.91 |     3.96 |     0.09 |     0.03 |      0.62 |    0.03 | 1 | 1 fl oz    | 10
1269 | Orange Blossom                           | Beverages        |      29.7 |     3.08 |     0.15 |     0.03 |       0.6 |    0.06 | 1 | 1 fl oz    | 10
1271 | Orange Juice Drink                       | Beverages        |    134.46 |    33.39 |      0.5 |        0 |      4.98 |     0.5 | 1 | 1 cup      | 10
1276 | Passion Fruit Nectar                     | Beverages        |        67 |    17.44 |     0.16 |     0.02 |         4 |     0.1 | 1 | 100 g      | 10
1277 | Peach Nectar                             | Beverages        |        54 |    13.92 |     0.27 |     0.02 |         7 |     0.6 | 1 | 100 g      | 10
1281 | Pina Colada                              | Beverages        |       151 |     19.5 |     0.36 |     2.13 |         6 |     0.1 | 1 | 100 g      | 10
1282 | Pina Colada Nonalcoholic                 | Beverages        |      27.6 |     5.12 |     0.14 |     0.85 |       2.4 |    0.21 | 1 | 1 fl oz    | 10
1283 | Pineapple And Orange Juice Drink Canned  | Beverages        |     15.65 |     3.69 |     0.41 |        0 |      0.94 |    0.03 | 1 | 1 fl oz    | 10
1287 | Protein Powder Soy Based                 | Beverages        |     174.6 |       13 |       25 |      2.5 |    329.85 |    3.02 | 1 | 1 scoop    | 10
1288 | Protein Powder Whey Based                | Beverages        |    112.64 |        2 |       25 |      0.5 |     49.92 |    0.99 | 1 | 1/3 cup    | 10
1298 | Rum Hot Buttered                         | Beverages        |      47.7 |     1.49 |     0.02 |     1.33 |       1.2 |    0.03 | 1 | 1 fl oz    | 10
1300 | Salty Dog                                | Beverages        |        82 |     5.93 |     0.43 |     0.08 |       257 |     0.6 | 1 | 100 g      | 10
1305 | Screwdriver                              | Beverages        |        93 |     8.62 |     0.51 |     0.09 |         2 |     0.2 | 1 | 100 g      | 10
1306 | Seabreeze                                | Beverages        |        90 |     8.07 |     0.22 |     0.08 |         2 |     0.3 | 1 | 100 g      | 10
1309 | Shake Fast Food Strawberry               | Beverages        |     26.55 |     4.44 |      0.8 |     0.66 |      19.5 |    0.09 | 1 | 1 fl oz    | 10
1310 | Shake Fast Food Vanilla                  | Beverages        |     30.78 |     4.07 |      0.7 |     1.36 |     16.85 |    0.19 | 1 | 1 fl oz    | 10
1312 | Singapore Sling                          | Beverages        |        98 |      7.8 |     0.12 |     0.04 |        15 |     0.2 | 1 | 100 g      | 10
1319 | Sweetened Vanilla Almond Milk            | Beverages        |      91.2 |    15.82 |     1.01 |      2.5 |     151.2 |    0.96 | 1 | 8 fl oz    | 10
1322 | Tamarind Drink                           | Beverages        |       107 |    27.72 |     0.64 |     0.14 |         9 |     1.2 | 1 | 100 g      | 10
1334 | Tea Hot Chai With Milk                   | Beverages        |        15 |     2.69 |     0.47 |     0.29 |       6.6 |    0.03 | 1 | 1 fl oz    | 10
1337 | Tea Instant Decaffeinated Unsweetened    | Beverages        |      2.21 |     0.41 |     0.14 |        0 |       0.5 |    0.06 | 1 | 1 serving  | 10
1339 | Tea Instant Lemon Sweetened Powder       | Beverages        |     92.23 |    22.67 |     0.03 |     0.17 |      1.15 |    0.16 | 1 | 1 serving  | 10
1340 | Tea Instant Lemon Unsweetened            | Beverages        |      4.83 |      1.1 |      0.1 |        0 |      0.77 |    0.07 | 1 | 1 tsp, rou | 10
1341 | Tea Instant Unsweetened Powder           | Beverages        |      2.21 |     0.41 |     0.14 |        0 |       0.5 |    0.06 | 1 | 1 serving  | 10
1347 | Unsweetened Almond Milk                  | Beverages        |      39.3 |     3.43 |     1.05 |     2.52 |    188.64 |    0.52 | 1 | 1 cup      | 10
1348 | Unsweetened Chocolate Almond Milk        | Beverages        |      50.4 |        3 |     1.99 |      3.5 |       180 |    0.96 | 1 | 1 cup      | 10
1349 | Unsweetened Rice Milk                    | Beverages        |     112.8 |    22.01 |     0.67 |     2.33 |      93.6 |    0.72 | 1 | 8 fl oz (a | 10
1362 | V8 Splash Smoothies Tropical Colada      | Beverages        |    100.86 |    21.01 |        3 |        0 |      49.2 |    0.98 | 1 | 1 serving  | 10
1402 | Zombie                                   | Beverages        |        96 |     9.26 |     0.15 |     0.04 |         5 |     0.1 | 1 | 100 g      | 10
1403 | Alpen                                    | Breakfast Cereal |     193.6 |    41.63 |     6.16 |     1.81 |     14.85 |       5 | 1 | 2/3 cup (1 | 10
1404 | Barbaras Puffins Original                | Breakfast Cereal |     89.91 |    22.68 |        2 |        1 |    190.08 |       5 | 1 | 3/4 cup (1 | 10
1405 | Cereal (General Mills Basic 4)           | Breakfast Cereal |     196.9 |     43.5 |     3.68 |      2.2 |     278.3 |       5 | 1 | 1 cup      | 10
1406 | Cereal (General Mills Boo Berry)         | Breakfast Cereal |    127.38 |    28.18 |     1.81 |     1.42 |    151.14 |    1.39 | 1 | 1 cup      | 10
1407 | Cereal (General Mills Cheerios Frosted)  | Breakfast Cereal |    139.12 |    29.53 |     3.33 |     1.74 |    204.61 |    2.77 | 1 | 1 cup      | 10
1408 | Cereal (General Mills Cheerios Fruity)   | Breakfast Cereal |    137.16 |    30.31 |     2.09 |     1.65 |    180.36 |    2.12 | 1 | 1 cup      | 10
1409 | Cereal (General Mills Cheerios Protein)  | Breakfast Cereal |    105.84 |    21.33 |     3.43 |     1.42 |    133.56 |    1.99 | 1 | 1 cup      | 10
1410 | Cereal (General Mills Cheerios)          | Breakfast Cereal |      3.76 |     0.73 |     0.12 |     0.07 |      4.97 |    0.09 | 1 | 10 cheerio | 10
1411 | Cereal (General Mills Chex Chocolate)    | Breakfast Cereal |    177.16 |    34.87 |     2.06 |     3.61 |    270.47 |    0.86 | 1 | 1 cup      | 10
1412 | Cereal (General Mills Chex Cinnamon)     | Breakfast Cereal |    157.17 |    32.14 |     1.95 |     2.57 |    235.95 |    0.94 | 1 | 1 cup      | 10
1415 | Cereal (General Mills Chex Rice)         | Breakfast Cereal |    101.25 |    22.97 |     1.73 |     0.51 |    218.43 |    0.54 | 1 | 1 cup      | 10
1416 | Cereal (General Mills Cocoa Puffs)       | Breakfast Cereal |    137.88 |    30.13 |     2.02 |     1.87 |    203.04 |    2.05 | 1 | 1 cup      | 10
1417 | Cereal (General Mills Cookie Crisp)      | Breakfast Cereal |       133 |    29.57 |     1.82 |     1.54 |    159.95 |    1.78 | 1 | 1 cup      | 10
1418 | Cereal (General Mills Count Chocula)     | Breakfast Cereal |    137.88 |    30.42 |     1.94 |     1.69 |    175.68 |     1.8 | 1 | 1 cup      | 10
1419 | Cereal (General Mills Frankenberry)      | Breakfast Cereal |    127.38 |    28.18 |     1.81 |     1.42 |    151.14 |    1.39 | 1 | 1 cup      | 10
1420 | Cereal (General Mills Golden Grahams)    | Breakfast Cereal |     149.6 |    34.04 |     2.12 |     1.28 |     308.8 |    2.24 | 1 | 1 cup      | 10
1421 | Cereal (General Mills Kix Berry Berry)   | Breakfast Cereal |    124.08 |    27.69 |     2.04 |     1.38 |    170.61 |    1.91 | 1 | 1 cup      | 10
1422 | Cereal (General Mills Lucky Charms)      | Breakfast Cereal |     136.8 |    29.12 |     2.76 |     1.81 |    233.28 |     1.8 | 1 | 1 cup      | 10
1423 | Cereal (General Mills Reese's Puffs)     | Breakfast Cereal |     165.2 |    30.24 |     2.72 |     4.44 |       222 |    1.88 | 1 | 1 cup      | 10
1424 | Cereal (General Mills Trix)              | Breakfast Cereal |    122.88 |    27.58 |     1.57 |     1.21 |       160 |    1.25 | 1 | 1 cup      | 10
1425 | Cereal (Kellogg's Cinnabon)              | Breakfast Cereal |       123 |    24.99 |     1.71 |     2.19 |     115.5 |    1.17 | 1 | 1 cup      | 10
1426 | Cereal (Kellogg's Cocoa Krispies)        | Breakfast Cereal |    159.49 |    36.04 |     1.89 |     1.11 |    173.84 |    0.57 | 1 | 1 cup      | 10
1427 | Cereal (Kellogg's Corn Flakes)           | Breakfast Cereal |     99.96 |    23.55 |      2.1 |     0.11 |    204.12 |    0.92 | 1 | 1 cup      | 10
1428 | Cereal (Kellogg's Corn Pops)             | Breakfast Cereal |    112.23 |    26.01 |     1.39 |     0.38 |    103.53 |    2.44 | 1 | 1 cup      | 10
1429 | Cereal (Kellogg's Crispix)               | Breakfast Cereal |    109.62 |    25.29 |     1.91 |     0.23 |     191.4 |    0.29 | 1 | 1 cup      | 10
1430 | Cereal (Kellogg's Frosted Flakes)        | Breakfast Cereal |    151.29 |    36.57 |     1.62 |     0.69 |    191.88 |     0.9 | 1 | 1 cup      | 10
1431 | Cereal (Kellogg's Frosted Krispies)      | Breakfast Cereal |     153.6 |    36.52 |     1.72 |     0.16 |     148.4 |     0.2 | 1 | 1 cup      | 10
1432 | Cereal (Kellogg's Honey Smacks)          | Breakfast Cereal |     136.8 |    31.86 |     2.05 |     0.79 |     51.12 |     1.8 | 1 | 1 cup      | 10
1433 | Cereal (Kellogg's Low Fat Granola)       | Breakfast Cereal |    381.22 |    79.28 |     8.53 |     5.59 |    251.86 |    6.86 | 1 | 1 cup      | 10
1434 | Cereal (Kellogg's Product 19)            | Breakfast Cereal |     112.2 |    25.29 |     2.55 |     0.39 |     218.1 |    0.84 | 1 | 1 cup      | 10
1435 | Cereal (Kellogg's Rice Krispies)         | Breakfast Cereal |     99.06 |    22.11 |     1.75 |     0.53 |    137.02 |     0.1 | 1 | 1 cup      | 10
1436 | Cereal (Kellogg's Smart Start Strong)    | Breakfast Cereal |     185.5 |     43.4 |     3.75 |     0.75 |       199 |     2.7 | 1 | 1 cup      | 10
1437 | Cereal (Kellogg's Special K Blueberry)   | Breakfast Cereal |     145.2 |    34.52 |     2.76 |      0.6 |     192.4 |    3.44 | 1 | 1 cup      | 10
1438 | Cereal (Kellogg's Special K)             | Breakfast Cereal |    116.87 |    22.75 |     5.51 |     0.55 |    206.77 |    0.43 | 1 | 1 cup      | 10
1439 | Cereal (Malt-O-Meal Crispy Rice)         | Breakfast Cereal |    106.68 |    23.81 |     1.89 |     0.57 |    147.56 |    0.11 | 1 | 1 cup      | 10
1440 | Cereal (Malt-O-Meal Golden Puffs)        | Breakfast Cereal |     121.6 |    28.32 |     1.82 |      0.7 |     45.44 |     1.6 | 1 | 1 cup      | 10
1441 | Cereal (Malt-O-Meal Toasted Oat Cereal)  | Breakfast Cereal |     82.72 |    16.11 |     2.66 |     1.48 |    109.34 |    2.07 | 1 | 1 cup      | 10
1442 | Cereal (Nature Valley Granola)           | Breakfast Cereal |    312.42 |    65.11 |     6.48 |     3.85 |    407.54 |     4.1 | 1 | 1 cup      | 10
1443 | Cereal Cooked Nfs                        | Breakfast Cereal |     153.6 |    27.26 |      5.3 |     2.62 |       168 |    4.08 | 1 | 1 cup, coo | 10
1444 | Cereal Corn Flakes                       | Breakfast Cereal |     89.25 |    21.02 |     1.88 |      0.1 |    182.25 |    0.82 | 1 | 1 cup      | 10
1445 | Cereal Crispy Brown Rice                 | Breakfast Cereal |    126.08 |    27.59 |     2.14 |      0.4 |     174.4 |    0.22 | 1 | 1 cup      | 10
1446 | Cereal Frosted Corn Flakes               | Breakfast Cereal |     147.6 |    35.68 |     1.58 |     0.67 |     187.2 |    0.88 | 1 | 1 cup      | 10
1447 | Cereal Frosted Rice                      | Breakfast Cereal |     172.8 |    41.09 |     1.94 |     0.18 |    166.95 |    0.23 | 1 | 1 cup      | 10
1448 | Cereal Granola                           | Breakfast Cereal |    422.91 |    88.91 |     9.99 |     5.77 |    276.39 |    8.21 | 1 | 1 cup      | 10
1449 | Cereal Muesli                            | Breakfast Cereal |    301.75 |    63.67 |     7.31 |     4.59 |    203.15 |    6.54 | 1 | 1 cup      | 10
1450 | Cereal Oat Nfs                           | Breakfast Cereal |    124.08 |    24.17 |     3.99 |     2.22 |    164.01 |     3.1 | 1 | 1 cup, nfs | 10
1451 | Cereal Puffed Wheat Sweetened            | Breakfast Cereal |     144.4 |    33.63 |     2.17 |     0.84 |     53.96 |     1.9 | 1 | 1 cup      | 10
1452 | Cereal Ready-To-Eat Nfs                  | Breakfast Cereal |     149.6 |    31.79 |     3.57 |     1.94 |     205.6 |    2.72 | 1 | 1 cup      | 10
1453 | Cereal Rice Flakes                       | Breakfast Cereal |    106.38 |    23.28 |     1.81 |     0.34 |    147.15 |    0.19 | 1 | 1 cup      | 10
1454 | Chocolate-Flavored Frosted Puffed Corn   | Breakfast Cereal |     121.5 |    26.16 |        1 |     1.05 |     160.2 |    1.14 | 1 | 1 cup      | 10
1455 | Cornmeal Mush Fat Added In Cooking       | Breakfast Cereal |       168 |     29.4 |     2.66 |     4.27 |     199.2 |    1.44 | 1 | 1 cup, coo | 10
1456 | Cornmeal Mush Fat Not Added In Cooking   | Breakfast Cereal |     139.2 |    29.93 |     2.69 |     0.67 |     170.4 |    1.44 | 1 | 1 cup, coo | 10
1457 | Cornmeal Puerto Rican Style              | Breakfast Cereal |     355.2 |    67.56 |     9.72 |     5.21 |     376.8 |     1.2 | 1 | 1 cup, coo | 10
1458 | Cream Of Rice Dry                        | Breakfast Cereal |     166.5 |    37.08 |     2.83 |     0.23 |       2.7 |    0.31 | 1 | 1/4 cup (1 | 10
1459 | Cream Of Rye                             | Breakfast Cereal |      98.4 |    21.26 |     3.07 |     0.43 |       336 |    3.36 | 1 | 1 cup, coo | 10
1460 | Cream Of Wheat 1 Minute Cook Time Dry    | Breakfast Cereal |    118.47 |    23.97 |     3.88 |     0.49 |      2.31 |    1.45 | 1 | 3 tablespo | 10
1461 | Cream Of Wheat Instant Dry               | Breakfast Cereal |     42.09 |     8.68 |     1.22 |     0.16 |     65.67 |    0.38 | 1 | 1 tbsp     | 10
1462 | Familia                                  | Breakfast Cereal |    473.36 |    90.04 |    11.59 |     7.69 |      9.76 |   10.37 | 1 | 1 cup      | 10
1463 | Farina Unenriched Dry                    | Breakfast Cereal |     40.22 |      8.5 |     1.16 |     0.05 |      0.33 |    0.21 | 1 | 1 tbsp     | 10
1464 | Frosted Oat Cereal With Marshmallows     | Breakfast Cereal |       120 |    25.41 |     2.13 |        1 |     159.9 |    1.29 | 1 | 3/4 cup (1 | 10
1465 | General Mills Cheerios                   | Breakfast Cereal |    104.16 |     20.5 |     3.47 |     1.85 |    139.16 |    2.83 | 1 | 1 cup (1 n | 10
1466 | Granola Homemade                         | Breakfast Cereal |    596.58 |    65.73 |    16.68 |    29.66 |     31.72 |   10.86 | 1 | 1 cup      | 10
1467 | Grits With Cheese Fat Added In Cooking   | Breakfast Cereal |     256.8 |    27.43 |     8.42 |    12.38 |     345.6 |    1.44 | 1 | 1 cup, coo | 10
1468 | Health Valley Fiber 7 Flakes             | Breakfast Cereal |    109.43 |    24.23 |     4.48 |     0.44 |        62 |    4.37 | 1 | 3/4 cup (1 | 10
1469 | Hominy Cooked Fat Added In Cooking       | Breakfast Cereal |     147.9 |    23.44 |     2.46 |     4.86 |     984.3 |    4.08 | 1 | 1 cup      | 10
1470 | Hominy Cooked Fat Not Added In Cooking   | Breakfast Cereal |     118.8 |    23.38 |     2.43 |     1.45 |     950.4 |    4.12 | 1 | 1 cup      | 10
1471 | Instant Grits (Made with Vegetable Fat)  | Breakfast Cereal |     218.4 |     43.3 |      5.5 |     3.41 |     621.6 |    2.16 | 1 | 1 cup, coo | 10
1472 | Malt-O-Meal Apple Zings                  | Breakfast Cereal |     128.7 |    28.81 |     1.49 |     0.89 |    149.82 |    0.76 | 1 | 1 cup (1 n | 10
1473 | Malt-O-Meal Berry Colossal Crunch        | Breakfast Cereal |     118.8 |    25.96 |     1.26 |     1.25 |     189.9 |    0.54 | 1 | 3/4 cup (1 | 10
1474 | Malt-O-Meal Blueberry Mini Spooners      | Breakfast Cereal |     192.5 |    43.67 |     4.85 |     1.06 |       1.1 |    5.67 | 1 | 1 cup (1 n | 10
1475 | Malt-O-Meal Blueberry Muffin Tops Cereal | Breakfast Cereal |     132.9 |    23.97 |     1.47 |     3.44 |     138.6 |    1.41 | 1 | 3/4 cup (1 | 10
1476 | Malt-O-Meal Chocolate Dry                | Breakfast Cereal |    127.05 |    27.84 |     3.71 |     0.29 |       3.5 |    0.98 | 1 | 3 tbsp (1  | 10
1477 | Malt-O-Meal Chocolate Marshmallow Mateys | Breakfast Cereal |     117.6 |    26.45 |     1.05 |      1.1 |     110.4 |    0.75 | 1 | 3/4 cup (1 | 10
1478 | Malt-O-Meal Cinnamon Toasters            | Breakfast Cereal |     127.5 |     23.5 |        1 |     3.62 |     141.9 |     1.5 | 1 | 3/4 cup (1 | 10
1479 | Malt-O-Meal Coco-Roos                    | Breakfast Cereal |     116.7 |    26.02 |     1.02 |     1.38 |       105 |    0.99 | 1 | 3/4 cup (1 | 10
1480 | Malt-O-Meal Cocoa Dyno-Bites             | Breakfast Cereal |    115.13 |     25.5 |      1.2 |     0.99 |    154.86 |    0.32 | 1 | 3/4 cup (1 | 10
1481 | Malt-O-Meal Colossal Crunch              | Breakfast Cereal |     120.3 |    24.48 |     1.09 |     1.58 |     241.8 |    0.51 | 1 | 3/4 cup (1 | 10
1482 | Malt-O-Meal Corn Bursts                  | Breakfast Cereal |    119.35 |    28.08 |     1.03 |     0.11 |    265.05 |    0.59 | 1 | 1 cup (1 n | 10
1483 | Malt-O-Meal Crispy Rice                  | Breakfast Cereal |    114.18 |    28.51 |        2 |     0.37 |    304.92 |    0.13 | 1 | 1 (1/4) cu | 10
1484 | Malt-O-Meal Farina Hot Wheat Cereal Dry  | Breakfast Cereal |    127.75 |    27.02 |     3.67 |     0.17 |      1.05 |    1.01 | 1 | 3 tbsp (1  | 10
1485 | Malt-O-Meal Frosted Flakes               | Breakfast Cereal |    120.59 |    27.96 |     1.32 |     0.27 |    139.81 |    0.37 | 1 | 3/4 cup (1 | 10
1486 | Malt-O-Meal Frosted Mini Spooners        | Breakfast Cereal |     194.7 |       45 |        5 |     1.07 |       9.9 |       6 | 1 | 1 cup (1 n | 10
1487 | Malt-O-Meal Fruity Dyno-Bites            | Breakfast Cereal |    109.08 |    24.33 |     1.05 |     0.85 |     170.1 |    0.27 | 1 | 3/4 cup    | 10
1488 | Malt-O-Meal Golden Puffs                 | Breakfast Cereal |      99.9 |    24.22 |     1.56 |     0.24 |     55.08 |     0.7 | 1 | 3/4 cup (1 | 10
1489 | Malt-O-Meal Honey Buzzers                | Breakfast Cereal |    109.91 |       26 |        1 |      0.5 |    220.11 |    0.99 | 1 | 1 (1/3) cu | 10
1490 | Malt-O-Meal Honey Graham Squares         | Breakfast Cereal |     119.4 |     22.4 |     1.34 |     2.99 |     251.4 |    1.32 | 1 | 3/4 cup (1 | 10
1491 | Malt-O-Meal Honey Nut Scooters           | Breakfast Cereal |     116.1 |    23.89 |     2.58 |     1.35 |     208.5 |    1.89 | 1 | 1 cup (1 n | 10
1492 | Malt-O-Meal Marshmallow Mateys           | Breakfast Cereal |     116.1 |    24.83 |     2.08 |     1.06 |     200.1 |    1.47 | 1 | 1 cup      | 10
1493 | Malt-O-Meal Oat Blenders With Honey      | Breakfast Cereal |     118.8 |    25.48 |     2.03 |     1.25 |     154.5 |     1.5 | 1 | 3/4 cup (1 | 10
1494 | Malt-O-Meal Original Plain Dry           | Breakfast Cereal |    127.75 |    27.04 |     4.13 |     0.24 |         0 |    0.73 | 1 | 3 tbsp (1  | 10
1495 | Malt-O-Meal Raisin Bran Cereal           | Breakfast Cereal |    201.78 |    47.42 |      4.5 |      1.1 |    274.94 |    6.02 | 1 | 1 cup (1 n | 10
1496 | Malt-O-Meal Tootie Fruities              | Breakfast Cereal |    125.12 |     27.5 |      1.5 |     1.02 |    144.96 |     0.7 | 1 | 1 cup (1 n | 10
1497 | Masa Harina Cooked                       | Breakfast Cereal |     232.8 |     49.2 |     5.42 |     2.38 |     679.2 |    4.08 | 1 | 1 cup, coo | 10
1498 | Millet Puffed                            | Breakfast Cereal |     74.34 |     16.8 |     2.73 |     0.71 |      1.05 |    0.57 | 1 | 1 cup      | 10
1499 | Moms Best Honey Nut Toasty Os            | Breakfast Cereal |     116.4 |    23.95 |     2.58 |     1.35 |     204.9 |    1.89 | 1 | 1 cup (1 n | 10
1500 | Moms Best Sweetened Wheat-Fuls           | Breakfast Cereal |    205.15 |     44.5 |      4.5 |     1.01 |       7.7 |     5.5 | 1 | 1 cup (1 n | 10
1501 | Natures Path Organic Flax Plus Flakes    | Breakfast Cereal |       105 |    22.58 |     3.57 |     1.64 |     137.4 |    4.98 | 1 | 3/4 cup (1 | 10
1502 | Oat Bran Flakes Health Valley            | Breakfast Cereal |       190 |       39 |        5 |      1.5 |       190 |       4 | 1 | 1 cup (1 n | 10
1503 | Oatmeal From Fast Food Fruit Flavored    | Breakfast Cereal |     292.8 |    59.06 |     5.47 |      4.9 |     352.8 |    4.32 | 1 | 1 cup, coo | 10
1504 | Oatmeal From Fast Food Maple Flavored    | Breakfast Cereal |     261.6 |    48.94 |     5.76 |     5.28 |     391.2 |    3.84 | 1 | 1 cup, coo | 10
1505 | Oatmeal From Fast Food Other Flavors     | Breakfast Cereal |     261.6 |    48.94 |     5.76 |     5.28 |     391.2 |    3.84 | 1 | 1 cup, coo | 10
1506 | Oatmeal From Fast Food Plain             | Breakfast Cereal |     189.6 |    28.68 |     6.24 |     5.76 |     223.2 |    4.08 | 1 | 1 cup, coo | 10
1507 | Oatmeal Multigrain Fat Added In Cooking  | Breakfast Cereal |     163.2 |    28.75 |     5.04 |     4.68 |     199.2 |     4.8 | 1 | 1 cup, coo | 10
1508 | Oats Instant Fortified Plain Dry         | Breakfast Cereal |    101.36 |    19.47 |     3.34 |     1.93 |      61.6 |     2.8 | 1 | 1 packet   | 10
1509 | Oats Regular And Quick Not Fortified Dry | Breakfast Cereal |    306.99 |    54.84 |    10.65 |     5.28 |      4.86 |    8.18 | 1 | 1 cup      | 10
1510 | Post Alpha-Bits                          | Breakfast Cereal |     116.7 |    24.09 |        3 |     1.38 |     177.6 |    2.13 | 1 | 1 cup (1 n | 10
1511 | Post Bran Flakes                         | Breakfast Cereal |      98.4 |    24.15 |     2.97 |     0.63 |       162 |    5.49 | 1 | 3/4 cup (1 | 10
1512 | Post Cocoa Pebbles                       | Breakfast Cereal |    115.13 |    24.85 |     1.39 |     1.19 |    172.26 |    0.46 | 1 | 3/4 cup (1 | 10
1513 | Post Fruity Pebbles                      | Breakfast Cereal |    108.54 |    23.25 |     1.25 |     1.09 |    143.37 |    0.22 | 1 | 3/4 cup (1 | 10
1514 | Post Golden Crisp                        | Breakfast Cereal |     102.6 |    24.33 |     1.49 |     0.46 |     25.65 |    1.35 | 1 | 3/4 cup (1 | 10
1515 | Post Grape-Nuts Cereal                   | Breakfast Cereal |    209.38 |    46.68 |     6.51 |     1.05 |     269.7 |    7.54 | 1 | 1/2 cup (1 | 10
1516 | Post Grape-Nuts Flakes                   | Breakfast Cereal |    109.04 |    23.78 |     2.73 |     1.07 |     136.3 |    2.96 | 1 | 3/4 cup (1 | 10
1517 | Post Great Grains Banana Nut Crunch      | Breakfast Cereal |     230.1 |    41.83 |     5.78 |     5.19 |    140.42 |    6.61 | 1 | 1 cup (1 n | 10
1518 | Post Great Grains Crunchy Pecan Cereal   | Breakfast Cereal |    209.56 |    37.96 |     4.68 |     5.46 |    149.24 |    5.04 | 1 | 3/4 cup (1 | 10
1519 | Post Great Grains Raisin Date & Pecan    | Breakfast Cereal |     207.9 |    40.87 |     4.34 |      3.9 |    135.85 |    5.12 | 1 | 3/4 cup (1 | 10
1520 | Post Honey Bunches Of Oats Honey Roasted | Breakfast Cereal |     120.3 |    24.36 |     2.14 |     1.64 |     136.2 |    1.26 | 1 | 3/4 cup (1 | 10
1521 | Post Honey Bunches Of Oats Pecan Bunches | Breakfast Cereal |    115.71 |    23.78 |     2.03 |     1.57 |    140.07 |    1.51 | 1 | 3/4 cup (1 | 10
1522 | Post Honey Bunches Of Oats With Almonds  | Breakfast Cereal |    130.88 |    25.47 |     2.46 |     2.34 |    133.44 |    1.76 | 1 | 3/4 cup (1 | 10
